picture,dialogs
1.png,"वाह मुझे यह खेल पसंद है
मैं बास्केटबॉल खेलना चाहता हूँ!"
2.png,एनबीए यह है..सपना!!
3.png,यिप्पी!!मेरी पहली जीत।
4.png,"मेरे आदर्श! 
किसी दिन उनकी तरह खेलना है"
5.png,मेरा कमरा प्यार करना चीज़ें से उससे भरा चाहिए
6.png,मेरी पहली जर्सी <3
7.png,डंक करने का समय! हुर्रेय्य्य!!!!
8.png,"कोई पसीना नहीं, कोई लाभ नहीं!
मेहनत करने का कोई बहाना नहीं।"
9.png,"मेन इन ब्लू
रिकॉर्ड तोड़ रहे हैं.."
10.png,"विरोधियों: हे भगवान,
हम उसे रोक नहीं सकते"
11.png,"मैं: ""हाँ! हो सके तो मुझे पकड़ लो।"""
12.png,"""ये ट्राफियां पर्याप्त नहीं हैं।
मैं और अधिक चाहता हूँ।"""
13.png,"जूनियर एनबीए के लिए मसौदा तैयार किया जा रहा है
मेरे सपने के करीब।"
14.png,"ओह नहीं
मेरा पैर, मुझे लगता है कि यह टूट गया है .."
15.png,एक खिलाड़ी के चरण में नहीं होना चाहिए।
16.png,"क्या मैं कर पाऊंगा
मेरा सपना हासिल?"
17.png,"उम्र के बाद ड्रिब्लिंग बॉल:
डोपामाइन रश"
18.png,!!!
19.png,ताकत जांच......
20.png,सहनशक्ति की जांच .........
21.png,कोच: इसे तेजी से करो !!!
22.png,फॉर्म में वापस आना।
23.png,मैंने दर्द को गले लगाना सीख लिया है।
24.png,"सबसे अच्छा दोस्त: ""चलो! शॉट बनाओ"""
25.png,"लड़ाई जितनी कठिन है,
जीत जितनी प्यारी होगी!"
26.png,"चोट के बाद पहली जीत!
बस अपने आप में विश्वास रखो।"
27.png,"फ़ोन:
पूर्वोत्तर की बास्केटबॉल टीम के
 लिए तैयार किया गया। बधाई हो!"
28.png,"भारत छोड़ना
मेरे सपनों को हासिल करने के लिए।"
29.png,अगली बार तक
30.png,बोस्टन यहाँ मैं हूँ
31.png,"यह कहाँ है
मैं होने के लिए हूं।"
32.png,नई शुरुआत के लिए बधाई
33.png,हस्की जाओ!
34.png,बोस्टान
35.png,है
36.png,सुंदर !
37.png,"अमेरिका में प्रशिक्षण।
बड़े लक्ष्य बनाना"
38.png,अंतिम प्रतिनिधि के लिए खुद को धक्का देना।
39.png,"कुछ तरकीबें!
अपना हुनर ​​दिखाने की कोशिश कर रहा हूं।"
40.png,अभ्यास में दृढ़ संकल्प और धैर्य
41.png,अपना रास्ता बनाना
42.png,निम्नलिखित
43.png,ड्रीमिंग सेल्टिक्स
44.png,"सेल्टिक्स स्टेडियम।
क्या मैंने इसे एनबीए में बनाया है?"
45.png,भाग 2
